Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Moses Moody,GSW,GSW @ MIA,03/26/2024,W,6,9,3,3,100,2,2,100,1,2,50.0,0,0,0,1,0,0,1,1,-2,9.5
Nikola Jovic,MIA,MIA vs. GSW,03/26/2024,L,31,11,4,11,36.4,2,7,28.6,1,2,50.0,2,4,6,4,0,0,0,0,-11,24.2
Orlando Robinson,MIA,MIA vs. GSW,03/26/2024,L,2,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,1,0,-5,0.2
Alondes Williams,MIA,MIA vs. GSW,03/26/2024,L,2,3,1,1,100,0,0,-,1,1,100,0,0,0,0,0,0,0,0,-5,3.0
Jamal Cain,MIA,MIA vs. GSW,03/26/2024,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5,0.0
Cole Swider,MIA,MIA vs. GSW,03/26/2024,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,-5,-1.0
Chris Paul,GSW,GSW @ MIA,03/26/2024,W,23,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,7,2,0,3,2,1,15.9
Klay Thompson,GSW,GSW @ MIA,03/26/2024,W,31,28,11,20,55.0,6,14,42.9,0,0,-,1,4,5,2,0,1,1,1,25,39.0
Draymond Green,GSW,GSW @ MIA,03/26/2024,W,28,4,2,5,40.0,0,1,0.0,0,0,-,0,9,9,8,2,0,1,5,9,31.8
Delon Wright,MIA,MIA vs. GSW,03/26/2024,L,16,0,0,3,0.0,0,1,0.0,0,0,-,1,2,3,3,0,0,0,0,-6,8.1
Bam Adebayo,MIA,MIA vs. GSW,03/26/2024,L,39,24,10,21,47.6,1,3,33.3,3,4,75.0,3,6,9,5,1,1,1,1,-4,47.3
Caleb Martin,MIA,MIA vs. GSW,03/26/2024,L,34,10,4,12,33.3,0,4,0.0,2,2,100,1,4,5,6,0,0,0,0,-4,25.0
Trey Murphy III,NOP,NOP vs. OKC,03/26/2024,L,39,16,6,10,60.0,4,6,66.7,0,1,0.0,0,6,6,2,0,1,0,2,-8,29.2
Dereck Lively II,DAL,DAL @ UTA,03/25/2024,W,18,6,3,3,100,0,0,-,0,0,-,0,9,9,0,1,0,0,1,-3,19.8
D.J. Wilson,PHI,PHI @ SAC,03/25/2024,L,14,10,4,6,66.7,2,2,100,0,0,-,1,1,2,2,0,2,0,1,4,21.4
KJ Martin,PHI,PHI @ SAC,03/25/2024,L,19,4,2,6,33.3,0,2,0.0,0,0,-,2,3,5,1,0,1,2,5,6,12.5
Keon Ellis,SAC,SAC vs. PHI,03/25/2024,W,24,5,2,5,40.0,1,3,33.3,0,0,-,1,1,2,1,0,1,0,4,8,11.9
Paul George,LAC,LAC vs. IND,03/25/2024,L,33,26,12,18,66.7,2,4,50.0,0,0,-,0,1,1,3,2,1,1,2,-5,39.7
Kawhi Leonard,LAC,LAC vs. IND,03/25/2024,L,38,26,11,18,61.1,1,2,50.0,3,3,100,2,2,4,3,0,2,3,2,-10,38.3
Doug McDermott,IND,IND @ LAC,03/25/2024,W,11,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,2,-8,1.2
Myles Turner,IND,IND @ LAC,03/25/2024,W,26,24,8,12,66.7,4,6,66.7,4,6,66.7,1,6,7,0,0,1,1,4,1,34.4
Amir Coffey,LAC,LAC vs. IND,03/25/2024,L,27,2,1,3,33.3,0,2,0.0,0,0,-,2,3,5,2,0,1,0,3,1,14.0
Terance Mann,LAC,LAC vs. IND,03/25/2024,L,17,6,2,5,40.0,1,2,50.0,1,2,50.0,1,2,3,0,0,0,0,1,-13,9.6
Andrew Nembhard,IND,IND @ LAC,03/25/2024,W,24,9,4,9,44.4,1,2,50.0,0,0,-,0,0,0,2,1,0,0,3,9,15.0
Xavier Moon,LAC,LAC vs. IND,03/25/2024,L,2,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,2,0,0,0,0,2,3.0
Obi Toppin,IND,IND @ LAC,03/25/2024,W,25,7,3,4,75.0,1,1,100,0,0,-,2,2,4,1,1,0,0,0,3,16.3
Tyrese Haliburton,IND,IND @ LAC,03/25/2024,W,31,21,7,12,58.3,6,9,66.7,1,1,100,0,1,1,9,2,0,3,2,3,38.7
Bones Hyland,LAC,LAC vs. IND,03/25/2024,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Isaiah Jackson,IND,IND @ LAC,03/25/2024,W,2,2,1,1,100,0,0,-,0,1,0.0,0,1,1,0,0,0,1,1,-2,2.2
Kendall Brown,IND,IND @ LAC,03/25/2024,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Kobe Brown,LAC,LAC vs. IND,03/25/2024,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
P.J. Tucker,LAC,LAC vs. IND,03/25/2024,L,12,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,1,0,1,3,-14,4.4
Russell Westbrook,LAC,LAC vs. IND,03/25/2024,L,18,14,5,10,50.0,0,2,0.0,4,6,66.7,2,2,4,7,0,0,1,1,-2,28.3
James Harden,LAC,LAC vs. IND,03/25/2024,L,34,11,3,7,42.9,0,1,0.0,5,5,100,0,3,3,7,1,0,1,3,-24,27.1
T.J. McConnell,IND,IND @ LAC,03/25/2024,W,24,15,7,14,50.0,1,2,50.0,0,0,-,0,2,2,6,0,0,1,1,8,25.4
Norman Powell,LAC,LAC vs. IND,03/25/2024,L,31,22,8,13,61.5,2,5,40.0,4,4,100,0,3,3,0,0,0,1,2,-4,24.6
Pascal Siakam,IND,IND @ LAC,03/25/2024,W,31,31,12,20,60.0,1,2,50.0,6,8,75.0,2,2,4,2,0,0,2,2,20,36.8
Ivica Zubac,LAC,LAC vs. IND,03/25/2024,L,24,9,4,8,50.0,0,0,-,1,2,50.0,4,7,11,2,0,0,0,2,-20,25.2
Jalen Smith,IND,IND @ LAC,03/25/2024,W,14,9,3,6,50.0,0,0,-,3,4,75.0,2,3,5,1,0,2,0,1,17,22.5
Jarace Walker,IND,IND @ LAC,03/25/2024,W,29,8,3,3,100,2,2,100,0,0,-,0,4,4,7,1,0,0,2,23,26.3
Ben Sheppard,IND,IND @ LAC,03/25/2024,W,21,7,2,3,66.7,1,2,50.0,2,2,100,0,5,5,0,2,0,0,3,13,19.0
Kentavious Caldwell-Pope,DEN,DEN vs. MEM,03/25/2024,W,26,9,3,6,50.0,1,2,50.0,2,2,100,0,2,2,2,1,0,2,1,15,15.4
Nikola Jokic,DEN,DEN vs. MEM,03/25/2024,W,31,29,11,18,61.1,1,2,50.0,6,7,85.7,5,6,11,8,3,1,4,4,13,62.2
Michael Porter Jr.,DEN,DEN vs. MEM,03/25/2024,W,22,11,4,7,57.1,3,4,75.0,0,0,-,1,3,4,2,1,0,1,0,5,20.8
DaQuan Jeffries,NYK,NYK vs. DET,03/25/2024,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,1,1,0,-2,5.0
Braxton Key,DEN,DEN vs. MEM,03/25/2024,W,3,3,1,1,100,1,1,100,0,0,-,0,2,2,1,0,0,0,0,-3,6.9
Scotty Pippen Jr.,MEM,MEM @ DEN,03/25/2024,L,26,17,5,9,55.6,3,6,50.0,4,4,100,1,1,2,4,0,0,5,3,-17,20.4
Jay Huff,DEN,DEN vs. MEM,03/25/2024,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,1,0,0,-3,3.0
Christian Braun,DEN,DEN vs. MEM,03/25/2024,W,22,17,8,10,80.0,1,2,50.0,0,0,-,3,2,5,2,0,0,1,2,5,25.0
GG Jackson,MEM,MEM @ DEN,03/25/2024,L,30,15,6,15,40.0,2,8,25.0,1,1,100,1,2,3,2,1,0,1,0,-17,23.6
Hunter Tyson,DEN,DEN vs. MEM,03/25/2024,W,4,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,1,0,0,0,2,-2,6.5
DeAndre Jordan,DEN,DEN vs. MEM,03/25/2024,W,14,0,0,2,0.0,0,0,-,0,0,-,1,5,6,1,0,2,0,1,15,14.7
Reggie Jackson,DEN,DEN vs. MEM,03/25/2024,W,24,15,4,9,44.4,2,3,66.7,5,5,100,1,0,1,8,1,0,2,1,21,29.2
Desmond Bane,MEM,MEM @ DEN,03/25/2024,L,32,15,6,14,42.9,2,6,33.3,1,1,100,1,2,3,3,1,0,3,2,-23,23.1
DeJon Jarreau,MEM,MEM @ DEN,03/25/2024,L,20,5,2,6,33.3,1,4,25.0,0,3,0.0,2,2,4,3,0,0,1,1,-6,13.3
Julian Strawther,DEN,DEN vs. MEM,03/25/2024,W,22,14,5,11,45.5,2,7,28.6,2,2,100,1,1,2,1,0,0,2,3,12,15.9
Jake LaRavia,MEM,MEM @ DEN,03/25/2024,L,23,3,1,9,11.1,0,7,0.0,1,4,25.0,0,2,2,2,1,0,0,2,-18,11.4
Jaren Jackson Jr.,MEM,MEM @ DEN,03/25/2024,L,26,11,4,18,22.2,1,7,14.3,2,4,50.0,3,1,4,5,2,4,1,4,-22,40.3
Trey Jemison,MEM,MEM @ DEN,03/25/2024,L,22,8,3,5,60.0,0,0,-,2,2,100,3,2,5,1,1,1,2,1,-3,19.5
Santi Aldama,MEM,MEM @ DEN,03/25/2024,L,31,5,2,4,50.0,1,3,33.3,0,0,-,2,7,9,3,1,4,1,1,-17,34.3
Justin Holiday,DEN,DEN vs. MEM,03/25/2024,W,22,11,4,6,66.7,3,4,75.0,0,0,-,1,2,3,2,2,0,0,1,22,23.6
Collin Gillespie,DEN,DEN vs. MEM,03/25/2024,W,21,4,2,5,40.0,0,3,0.0,0,0,-,0,4,4,7,1,0,2,1,5,20.3
Lamar Stevens,MEM,MEM @ DEN,03/25/2024,L,23,19,6,10,60.0,0,1,0.0,7,7,100,1,2,3,2,1,0,0,1,-5,28.6
Maozinha Pereira,MEM,MEM @ DEN,03/25/2024,L,6,5,2,4,50.0,1,2,50.0,0,1,0.0,3,2,5,0,1,0,0,0,3,14.0
Peyton Watson,DEN,DEN vs. MEM,03/25/2024,W,22,10,4,9,44.4,0,1,0.0,2,2,100,2,7,9,2,1,3,1,5,22,34.8
Malik Monk,SAC,SAC vs. PHI,03/25/2024,W,26,11,4,11,36.4,0,5,0.0,3,3,100,1,3,4,4,1,0,1,1,9,23.8
De'Aaron Fox,SAC,SAC vs. PHI,03/25/2024,W,37,23,8,18,44.4,2,6,33.3,5,6,83.3,2,6,8,5,2,1,0,2,16,49.1
Brice Sensabaugh,UTA,UTA vs. DAL,03/25/2024,L,16,3,1,3,33.3,1,2,50.0,0,0,-,0,3,3,1,0,0,2,2,0,6.1
Taylor Hendricks,UTA,UTA vs. DAL,03/25/2024,L,29,8,3,8,37.5,1,5,20.0,1,1,100,1,5,6,1,0,1,0,3,-8,19.7
Kyrie Irving,DAL,DAL @ UTA,03/25/2024,W,36,27,10,21,47.6,4,9,44.4,3,3,100,0,3,3,5,0,0,2,2,9,36.1
Tim Hardaway Jr.,DAL,DAL @ UTA,03/25/2024,W,29,13,5,14,35.7,3,9,33.3,0,0,-,0,2,2,4,3,0,0,2,8,30.4
Jordan Clarkson,UTA,UTA vs. DAL,03/25/2024,L,33,4,0,7,0.0,0,2,0.0,4,5,80.0,0,4,4,8,0,0,5,1,-11,15.8
Lauri Markkanen,UTA,UTA vs. DAL,03/25/2024,L,34,34,10,19,52.6,6,9,66.7,8,8,100,3,4,7,2,1,1,1,2,-2,50.4
Collin Sexton,UTA,UTA vs. DAL,03/25/2024,L,29,20,8,15,53.3,3,6,50.0,1,1,100,1,1,2,6,0,0,1,2,-15,30.4
P.J. Washington,DAL,DAL @ UTA,03/25/2024,W,35,16,6,12,50.0,2,6,33.3,2,2,100,3,1,4,1,1,0,0,2,6,25.3
Daniel Gafford,DAL,DAL @ UTA,03/25/2024,W,27,13,6,7,85.7,0,0,-,1,2,50.0,4,7,11,5,2,5,0,2,15,54.7
Johnny Juzang,UTA,UTA vs. DAL,03/25/2024,L,13,0,0,4,0.0,0,4,0.0,0,0,-,2,1,3,2,0,0,0,1,-3,6.6
Walker Kessler,UTA,UTA vs. DAL,03/25/2024,L,17,9,4,4,100,0,0,-,1,2,50.0,1,3,4,0,1,0,0,2,0,16.8
Luka Doncic,DAL,DAL @ UTA,03/25/2024,W,41,29,10,24,41.7,2,11,18.2,7,8,87.5,2,10,12,13,1,1,4,3,10,64.9
Dillon Brooks,HOU,HOU vs. POR,03/25/2024,W,29,11,2,13,15.4,0,8,0.0,7,7,100,0,2,2,1,0,0,0,4,10,14.9
Moses Brown,POR,POR @ HOU,03/25/2024,L,8,1,0,2,0.0,0,0,-,1,2,50.0,0,1,1,0,0,0,1,1,-9,1.2
Jalen Green,HOU,HOU vs. POR,03/25/2024,W,40,27,9,26,34.6,4,12,33.3,5,6,83.3,0,6,6,3,3,1,3,2,25,47.7
Scoot Henderson,POR,POR @ HOU,03/25/2024,L,25,15,6,14,42.9,1,5,20.0,2,2,100,0,3,3,4,0,0,5,5,-11,19.6
Jabari Walker,POR,POR @ HOU,03/25/2024,L,26,7,3,6,50.0,0,1,0.0,1,2,50.0,1,4,5,0,0,0,0,3,-12,13.0
Nate Williams,HOU,HOU vs. POR,03/25/2024,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Amen Thompson,HOU,HOU vs. POR,03/25/2024,W,28,12,6,12,50.0,0,1,0.0,0,0,-,6,3,9,2,1,1,1,0,0,30.8
Rayan Rupert,POR,POR @ HOU,03/25/2024,L,23,9,3,8,37.5,3,4,75.0,0,0,-,0,4,4,1,0,0,1,3,7,14.3
Toumani Camara,POR,POR @ HOU,03/25/2024,L,35,12,4,9,44.4,1,3,33.3,3,3,100,3,2,5,0,2,2,4,4,-7,26.0
Duop Reath,POR,POR @ HOU,03/25/2024,L,24,8,3,8,37.5,0,2,0.0,2,2,100,1,3,4,0,0,1,0,5,-15,15.8
Jock Landale,HOU,HOU vs. POR,03/25/2024,W,32,17,6,6,100,2,2,100,3,3,100,2,7,9,2,0,1,0,1,29,33.8
Jeff Green,HOU,HOU vs. POR,03/25/2024,W,24,6,2,4,50.0,2,4,50.0,0,0,-,0,4,4,1,0,1,1,2,7,14.3
Reggie Bullock Jr.,HOU,HOU vs. POR,03/25/2024,W,15,3,1,1,100,1,1,100,0,0,-,1,4,5,0,0,1,0,0,3,12.0
Fred VanVleet,HOU,HOU vs. POR,03/25/2024,W,26,15,5,18,27.8,2,8,25.0,3,3,100,0,3,3,4,2,1,2,5,-4,31.6
Aaron Holiday,HOU,HOU vs. POR,03/25/2024,W,24,11,2,6,33.3,1,1,100,6,6,100,1,2,3,4,1,0,0,2,21,23.6
Ashton Hagans,POR,POR @ HOU,03/25/2024,L,24,8,4,8,50.0,0,3,0.0,0,0,-,2,2,4,3,0,0,2,2,-7,15.3
Jae'Sean Tate,HOU,HOU vs. POR,03/25/2024,W,21,8,4,7,57.1,0,2,0.0,0,0,-,3,1,4,2,0,1,1,0,1,17.8
Dalano Banton,POR,POR @ HOU,03/25/2024,L,39,28,11,21,52.4,2,9,22.2,4,4,100,1,10,11,5,1,2,3,1,-25,54.7
Kris Murray,POR,POR @ HOU,03/25/2024,L,31,4,2,11,18.2,0,6,0.0,0,0,-,2,4,6,1,2,1,0,1,-9,21.7
Justin Minaya,POR,POR @ HOU,03/25/2024,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2,1.2
JaVale McGee,SAC,SAC vs. PHI,03/25/2024,W,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,1,0,0,0,-6,3.0
Nicolas Batum,PHI,PHI @ SAC,03/25/2024,L,21,0,0,3,0.0,0,2,0.0,0,0,-,2,1,3,0,0,0,1,0,-11,2.6
Tobias Harris,PHI,PHI @ SAC,03/25/2024,L,26,12,5,15,33.3,0,2,0.0,2,2,100,0,8,8,0,0,0,2,2,-13,19.6
Domantas Sabonis,SAC,SAC vs. PHI,03/25/2024,W,33,11,3,5,60.0,0,0,-,5,8,62.5,5,8,13,10,0,1,3,4,15,41.6
Mo Bamba,PHI,PHI @ SAC,03/25/2024,L,12,5,1,3,33.3,0,1,0.0,3,3,100,5,1,6,0,0,0,0,4,-2,12.2
Tyrese Maxey,PHI,PHI @ SAC,03/25/2024,L,35,29,10,16,62.5,5,7,71.4,4,6,66.7,0,3,3,2,0,0,2,3,-15,33.6
Paul Reed,PHI,PHI @ SAC,03/25/2024,L,23,8,3,5,60.0,0,0,-,2,2,100,1,7,8,2,1,1,4,2,-3,22.6
Chris Duarte,SAC,SAC vs. PHI,03/25/2024,W,13,4,1,5,20.0,0,4,0.0,2,2,100,0,0,0,0,1,0,0,1,-2,7.0
Kessler Edwards,SAC,SAC vs. PHI,03/25/2024,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,-6,-1.0
Davion Mitchell,SAC,SAC vs. PHI,03/25/2024,W,25,18,6,9,66.7,3,4,75.0,3,4,75.0,1,1,2,0,0,0,0,2,8,20.4
Keegan Murray,SAC,SAC vs. PHI,03/25/2024,W,38,23,9,20,45.0,3,11,27.3,2,3,66.7,0,3,3,4,1,1,0,2,19,38.6
Colby Jones,SAC,SAC vs. PHI,03/25/2024,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6,0.0
Ricky Council IV,PHI,PHI @ SAC,03/25/2024,L,9,10,2,5,40.0,1,3,33.3,5,6,83.3,1,1,2,1,0,0,0,1,4,13.9
Jalen Slawson,SAC,SAC vs. PHI,03/25/2024,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0,0.0
Kyle Lowry,PHI,PHI @ SAC,03/25/2024,L,25,3,1,4,25.0,1,4,25.0,0,0,-,1,1,2,1,1,0,2,3,-22,7.9
Harrison Barnes,SAC,SAC vs. PHI,03/25/2024,W,26,6,2,8,25.0,1,4,25.0,1,1,100,0,3,3,1,0,0,1,1,-2,10.1
Alex Len,SAC,SAC vs. PHI,03/25/2024,W,11,7,3,3,100,0,0,-,1,1,100,1,4,5,0,0,2,1,0,7,18.0
Cameron Payne,PHI,PHI @ SAC,03/25/2024,L,25,8,3,10,30.0,2,5,40.0,0,0,-,1,2,3,6,0,0,2,4,-6,18.6
Buddy Hield,PHI,PHI @ SAC,03/25/2024,L,32,7,3,9,33.3,0,6,0.0,1,1,100,1,4,5,3,0,0,0,0,-2,17.5
Jalen Pickett,DEN,DEN vs. MEM,03/25/2024,W,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,2,-2,2.7
Gradey Dick,TOR,TOR vs. BKN,03/25/2024,L,33,8,3,11,27.3,0,5,0.0,2,2,100,0,3,3,2,1,0,2,2,6,15.6
Patrick Baldwin Jr.,WAS,WAS @ CHI,03/25/2024,W,26,2,1,5,20.0,0,2,0.0,0,0,-,0,6,6,2,2,1,1,0,9,20.2
Johnny Davis,WAS,WAS @ CHI,03/25/2024,W,20,8,3,6,50.0,2,4,50.0,0,0,-,1,1,2,3,0,0,0,0,-3,14.9
Corey Kispert,WAS,WAS @ CHI,03/25/2024,W,39,19,6,18,33.3,3,10,30.0,4,4,100,3,9,12,3,2,0,2,1,8,41.9
Anthony Gill,WAS,WAS @ CHI,03/25/2024,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,0.0
Ayo Dosunmu,CHI,CHI vs. WAS,03/25/2024,L,34,12,4,9,44.4,2,4,50.0,2,3,66.7,1,1,2,3,0,0,2,3,-13,16.9
Jared Butler,WAS,WAS @ CHI,03/25/2024,W,27,8,3,12,25.0,0,6,0.0,2,2,100,2,2,4,13,2,2,4,3,-4,40.3
Alex Caruso,CHI,CHI vs. WAS,03/25/2024,L,33,12,4,8,50.0,2,4,50.0,2,2,100,1,5,6,5,2,1,1,4,8,34.7
Richaun Holmes,WAS,WAS @ CHI,03/25/2024,W,31,14,6,10,60.0,0,1,0.0,2,3,66.7,6,9,15,2,1,1,2,4,-8,39.0
Nikola Vucevic,CHI,CHI vs. WAS,03/25/2024,L,30,9,3,5,60.0,0,1,0.0,3,4,75.0,3,13,16,3,0,3,3,2,-8,38.7
Jeremy Sochan,SAS,SAS vs. PHX,03/25/2024,W,36,26,10,19,52.6,1,7,14.3,5,5,100,2,16,18,1,1,1,0,2,3,55.1
Blake Wesley,SAS,SAS vs. PHX,03/25/2024,W,21,5,2,7,28.6,1,2,50.0,0,0,-,0,2,2,3,1,0,1,0,15,13.9
Keldon Johnson,SAS,SAS vs. PHX,03/25/2024,W,31,14,5,9,55.6,2,2,100,2,2,100,0,3,3,5,1,0,0,2,1,28.1
Bol Bol,PHX,PHX @ SAS,03/25/2024,L,8,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,1,0,0,-10,5.4
Zach Collins,SAS,SAS vs. PHX,03/25/2024,W,30,18,7,14,50.0,0,3,0.0,4,6,66.7,2,3,5,3,1,0,3,3,-4,28.5
Cedi Osman,SAS,SAS vs. PHX,03/25/2024,W,15,7,2,4,50.0,2,4,50.0,1,2,50.0,0,2,2,0,1,0,0,2,-4,12.4
Royce O'Neale,PHX,PHX @ SAS,03/25/2024,L,26,12,5,6,83.3,2,3,66.7,0,0,-,0,5,5,2,0,1,1,0,-4,23.0
Bradley Beal,PHX,PHX @ SAS,03/25/2024,L,30,9,4,11,36.4,1,4,25.0,0,0,-,0,5,5,6,2,0,1,0,-1,29.0
Eric Gordon,PHX,PHX @ SAS,03/25/2024,L,24,2,1,4,25.0,0,3,0.0,0,0,-,0,2,2,0,0,0,1,1,-9,3.4
Kevin Durant,PHX,PHX @ SAS,03/25/2024,L,36,29,12,17,70.6,4,6,66.7,1,2,50.0,0,8,8,6,1,0,3,2,5,47.6
Dominick Barlow,SAS,SAS vs. PHX,03/25/2024,W,18,0,0,1,0.0,0,0,-,0,0,-,0,3,3,0,0,0,2,2,6,1.6
Malaki Branham,SAS,SAS vs. PHX,03/25/2024,W,7,0,0,4,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Julian Champagnie,SAS,SAS vs. PHX,03/25/2024,W,20,6,2,5,40.0,0,2,0.0,2,2,100,0,0,0,0,1,0,1,2,8,8.0
Tre Jones,SAS,SAS vs. PHX,03/25/2024,W,27,2,1,4,25.0,0,0,-,0,0,-,1,2,3,4,1,0,0,0,-13,14.6
Devin Vassell,SAS,SAS vs. PHX,03/25/2024,W,35,26,11,24,45.8,2,9,22.2,2,2,100,0,4,4,7,3,0,0,2,9,50.3
Drew Eubanks,PHX,PHX @ SAS,03/25/2024,L,21,2,1,3,33.3,0,0,-,0,0,-,3,3,6,4,0,0,2,4,7,13.2
Grayson Allen,PHX,PHX @ SAS,03/25/2024,L,35,6,2,5,40.0,0,2,0.0,2,3,66.7,0,4,4,2,0,0,0,2,5,13.8
Devin Booker,PHX,PHX @ SAS,03/25/2024,L,40,36,14,28,50.0,3,10,30.0,5,7,71.4,1,5,6,4,1,3,5,4,-1,56.2
Jusuf Nurkic,PHX,PHX @ SAS,03/25/2024,L,19,6,3,9,33.3,0,0,-,0,2,0.0,1,8,9,4,1,2,1,1,-2,30.8
Buddy Boeheim,DET,DET @ NYK,03/25/2024,L,18,6,2,6,33.3,2,6,33.3,0,0,-,0,3,3,0,0,1,0,2,9,12.6
Jared Rhoden,DET,DET @ NYK,03/25/2024,L,25,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,3,0,0,1,3,-3,8.9
Miles McBride,NYK,NYK vs. DET,03/25/2024,W,43,13,5,12,41.7,1,7,14.3,2,2,100,1,4,5,4,1,0,0,4,28,28.0
Malachi Flynn,DET,DET @ NYK,03/25/2024,L,30,14,5,12,41.7,2,6,33.3,2,2,100,1,3,4,3,2,1,2,2,-5,30.3
Dalen Terry,CHI,CHI vs. WAS,03/25/2024,L,11,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,0,0,0,-2,2.7
Onuralp Bitim,CHI,CHI vs. WAS,03/25/2024,L,4,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,1,0,0.2
Tristan Thompson,CLE,CLE vs. CHA,03/25/2024,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,2,1,1,0.7
Marcus Morris Sr.,CLE,CLE vs. CHA,03/25/2024,W,8,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,1,0,3.0
Vasilije Micic,CHA,CHA @ CLE,03/25/2024,L,31,2,1,4,25.0,0,1,0.0,0,0,-,0,2,2,4,0,0,2,1,-17,8.4
Damian Jones,CLE,CLE vs. CHA,03/25/2024,W,3,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2,5.2
Jarrett Allen,CLE,CLE vs. CHA,03/25/2024,W,33,17,7,9,77.8,0,0,-,3,3,100,2,11,13,4,1,0,0,1,14,41.6
Miles Bridges,CHA,CHA @ CLE,03/25/2024,L,38,13,5,14,35.7,1,5,20.0,2,4,50.0,1,5,6,2,1,0,1,3,-10,25.2
Darius Garland,CLE,CLE vs. CHA,03/25/2024,W,33,15,6,12,50.0,2,6,33.3,1,1,100,1,3,4,10,1,0,3,1,17,34.8
Isaac Okoro,CLE,CLE vs. CHA,03/25/2024,W,31,14,5,11,45.5,3,7,42.9,1,2,50.0,3,2,5,3,0,0,1,1,8,23.5
Aleksej Pokusevski,CHA,CHA @ CLE,03/25/2024,L,19,11,4,7,57.1,1,2,50.0,2,3,66.7,2,3,5,3,2,1,1,2,-12,29.5
JT Thor,CHA,CHA @ CLE,03/25/2024,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,0,-6,3.0
Bryce McGowens,CHA,CHA @ CLE,03/25/2024,L,3,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2,2.0
Keyonte George,UTA,UTA vs. DAL,03/25/2024,L,35,6,2,11,18.2,0,6,0.0,2,2,100,0,5,5,6,2,0,3,2,-1,24.0
Jaden Hardy,DAL,DAL @ UTA,03/25/2024,W,3,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,2,1.2
Micah Potter,UTA,UTA vs. DAL,03/25/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
A.J. Lawson,DAL,DAL @ UTA,03/25/2024,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Omer Yurtseven,UTA,UTA vs. DAL,03/25/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,1.2
Kira Lewis Jr.,UTA,UTA vs. DAL,03/25/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,3.0
Luka Samanic,UTA,UTA vs. DAL,03/25/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Maxi Kleber,DAL,DAL @ UTA,03/25/2024,W,15,2,1,4,25.0,0,3,0.0,0,0,-,1,2,3,0,0,1,0,1,-2,8.6
John Collins,UTA,UTA vs. DAL,03/25/2024,L,31,21,9,16,56.3,2,5,40.0,1,3,33.3,3,8,11,2,2,0,0,0,-10,43.2
Derrick Jones Jr.,DAL,DAL @ UTA,03/25/2024,W,18,6,2,3,66.7,0,1,0.0,2,3,66.7,0,1,1,0,1,0,0,1,-5,10.2
Dante Exum,DAL,DAL @ UTA,03/25/2024,W,16,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,3,0,0,0,2,10,8.7
