Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Amir Coffey,LAC,LAC vs. UTA,04/05/2024,W,31,11,4,9,44.4,1,4,25.0,2,2,100,1,3,4,0,1,0,1,3,7,17.8
Daniel Theis,LAC,LAC vs. UTA,04/05/2024,W,17,11,5,7,71.4,1,2,50.0,0,0,-,1,4,5,1,0,1,0,2,12,21.5
Norman Powell,LAC,LAC vs. UTA,04/05/2024,W,26,18,5,12,41.7,4,8,50.0,4,4,100,0,2,2,1,1,0,1,2,15,23.9
James Harden,LAC,LAC vs. UTA,04/05/2024,W,33,13,4,10,40.0,2,7,28.6,3,3,100,0,10,10,15,0,0,5,1,19,42.5
Russell Westbrook,LAC,LAC vs. UTA,04/05/2024,W,21,17,8,11,72.7,1,1,100,0,1,0.0,0,5,5,4,2,0,5,2,10,30.0
Mason Plumlee,LAC,LAC vs. UTA,04/05/2024,W,7,0,0,2,0.0,0,1,0.0,0,0,-,0,4,4,0,1,0,0,0,2,7.8
Kobe Brown,LAC,LAC vs. UTA,04/05/2024,W,7,4,2,2,100,0,0,-,0,0,-,2,1,3,0,0,0,0,0,2,7.6
Micah Potter,UTA,UTA @ LAC,04/05/2024,L,9,2,0,2,0.0,0,1,0.0,2,2,100,0,2,2,0,2,1,1,2,3,12.4
Jason Preston,UTA,UTA @ LAC,04/05/2024,L,17,6,3,6,50.0,0,1,0.0,0,0,-,1,3,4,6,1,0,0,1,-10,22.8
Johnny Juzang,UTA,UTA @ LAC,04/05/2024,L,32,9,3,8,37.5,2,5,40.0,1,2,50.0,2,5,7,3,1,1,0,1,-13,27.9
Bones Hyland,LAC,LAC vs. UTA,04/05/2024,W,7,5,2,5,40.0,1,3,33.3,0,0,-,0,1,1,4,0,0,0,1,2,12.2
Brandon Boston Jr.,LAC,LAC vs. UTA,04/05/2024,W,7,4,2,6,33.3,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,2,4.0
Omer Yurtseven,UTA,UTA @ LAC,04/05/2024,L,21,12,6,10,60.0,0,0,-,0,0,-,5,2,7,1,1,0,1,0,-20,23.9
Xavier Moon,LAC,LAC vs. UTA,04/05/2024,W,2,0,0,1,0.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,2,1.2
Luka Samanic,UTA,UTA @ LAC,04/05/2024,L,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-4,1.2
Darius Bazley,UTA,UTA @ LAC,04/05/2024,L,33,12,4,8,50.0,1,3,33.3,3,5,60.0,1,5,6,0,3,1,3,0,-12,28.2
Terance Mann,LAC,LAC vs. UTA,04/05/2024,W,23,19,8,9,88.9,0,1,0.0,3,4,75.0,1,3,4,1,2,0,1,3,23,30.3
Collin Sexton,UTA,UTA @ LAC,04/05/2024,L,18,12,3,14,21.4,2,6,33.3,4,4,100,3,0,3,2,0,0,2,1,-25,16.6
Ivica Zubac,LAC,LAC vs. UTA,04/05/2024,W,24,12,5,6,83.3,0,0,-,2,2,100,2,8,10,2,1,3,0,4,15,39.0
Kris Dunn,UTA,UTA @ LAC,04/05/2024,L,24,10,3,5,60.0,0,1,0.0,4,5,80.0,1,0,1,1,1,0,1,3,5,14.7
Paul George,LAC,LAC vs. UTA,04/05/2024,W,21,14,5,9,55.6,2,5,40.0,2,2,100,0,2,2,3,0,0,1,3,18,19.9
P.J. Tucker,LAC,LAC vs. UTA,04/05/2024,W,14,3,1,2,50.0,1,1,100,0,0,-,0,0,0,1,1,0,0,1,16,7.5
Naz Reid,MIN,MIN @ PHX,04/05/2024,L,32,8,3,13,23.1,1,5,20.0,1,2,50.0,1,10,11,2,2,2,5,3,-19,31.2
Nickeil Alexander-Walker,MIN,MIN @ PHX,04/05/2024,L,22,13,4,9,44.4,3,5,60.0,2,2,100,0,5,5,2,1,0,1,2,-5,24.0
Bol Bol,PHX,PHX vs. MIN,04/05/2024,W,12,2,1,2,50.0,0,0,-,0,0,-,0,3,3,0,1,1,0,1,4,11.6
Monte Morris,MIN,MIN @ PHX,04/05/2024,L,22,9,3,5,60.0,2,3,66.7,1,2,50.0,1,3,4,3,0,1,0,0,10,21.3
Royce O'Neale,PHX,PHX vs. MIN,04/05/2024,W,20,3,1,5,20.0,1,4,25.0,0,0,-,0,3,3,0,0,0,0,1,14,6.6
Jusuf Nurkic,PHX,PHX vs. MIN,04/05/2024,W,26,11,5,11,45.5,0,0,-,1,3,33.3,3,12,15,6,3,1,4,5,12,46.0
Rudy Gobert,MIN,MIN @ PHX,04/05/2024,L,29,4,2,5,40.0,0,0,-,0,0,-,2,4,6,1,0,2,1,4,-26,17.7
Bradley Beal,PHX,PHX vs. MIN,04/05/2024,W,27,14,6,9,66.7,2,3,66.7,0,0,-,0,3,3,2,0,0,2,3,13,18.6
Eric Gordon,PHX,PHX vs. MIN,04/05/2024,W,17,4,1,3,33.3,0,0,-,2,3,66.7,0,1,1,1,2,0,1,0,-4,11.7
Mike Conley,MIN,MIN @ PHX,04/05/2024,L,25,5,1,6,16.7,1,3,33.3,2,2,100,0,0,0,3,0,0,3,1,-27,6.5
Josh Minott,MIN,MIN @ PHX,04/05/2024,L,4,3,1,2,50.0,1,1,100,0,0,-,1,2,3,2,0,0,0,0,12,9.6
Leonard Miller,MIN,MIN @ PHX,04/05/2024,L,4,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,12,5.2
Wendell Moore Jr.,MIN,MIN @ PHX,04/05/2024,L,4,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,0,0,12,3.5
Luka Garza,MIN,MIN @ PHX,04/05/2024,L,4,2,1,4,25.0,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,1,12,3.2
Jaden McDaniels,MIN,MIN @ PHX,04/05/2024,L,26,6,3,6,50.0,0,2,0.0,0,0,-,0,2,2,1,1,1,2,2,-10,13.9
Anthony Edwards,MIN,MIN @ PHX,04/05/2024,L,33,17,6,19,31.6,2,6,33.3,3,3,100,3,5,8,3,3,0,4,3,-13,36.1
Nassir Little,PHX,PHX vs. MIN,04/05/2024,W,4,0,0,3,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,1,-12,0.2
Drew Eubanks,PHX,PHX vs. MIN,04/05/2024,W,18,5,1,2,50.0,0,0,-,3,4,75.0,0,4,4,0,0,1,0,1,10,12.8
Jordan McLaughlin,MIN,MIN @ PHX,04/05/2024,L,14,4,1,4,25.0,0,3,0.0,2,2,100,0,1,1,0,1,0,0,0,-16,8.2
Josh Okogie,PHX,PHX vs. MIN,04/05/2024,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-12,0.2
Udoka Azubuike,PHX,PHX vs. MIN,04/05/2024,W,4,0,0,0,-,0,0,-,0,2,0.0,0,0,0,0,0,0,0,0,-12,0.0
Grayson Allen,PHX,PHX vs. MIN,04/05/2024,W,33,23,6,14,42.9,4,8,50.0,7,8,87.5,2,6,8,1,2,0,1,0,22,39.1
Devin Booker,PHX,PHX vs. MIN,04/05/2024,W,34,13,3,12,25.0,1,5,20.0,6,6,100,1,2,3,13,3,0,7,3,19,38.1
Kyle Anderson,MIN,MIN @ PHX,04/05/2024,L,17,6,3,7,42.9,0,0,-,0,0,-,0,1,1,3,0,0,2,4,-4,9.7
Bojan Bogdanovic,NYK,NYK @ CHI,04/05/2024,L,20,9,3,9,33.3,1,4,25.0,2,2,100,0,1,1,1,0,0,2,2,-11,9.7
DeMar DeRozan,CHI,CHI vs. NYK,04/05/2024,W,42,20,8,18,44.4,0,2,0.0,4,4,100,0,5,5,10,1,0,4,4,10,40.0
Chet Holmgren,OKC,OKC @ IND,04/05/2024,L,28,15,4,12,33.3,1,6,16.7,6,8,75.0,0,8,8,0,0,3,2,4,5,31.6
